Vitality Product Group 2.0,Vitality Product Group,HNS Compliance,HNS 2.0 Compliance,Change,Top 5 Contribution,COUNT,benchmark_delta,group_change_delta,All
ANIMAL PROTEIN,PROCESSED MEAT,0.272131904,0.151790997,-0.120340907,0.88,87,-0.131802492,0.011461585,-0.000488205
BOUILLONS,BOUILLONS,0.785887245,0.615957696,-0.169929549,0.6,50,-0.034689404,-0.135240145,-0.011233368
BREAD PRODUCTS,BREAD,0.306999936,0.075055219,-0.231944717,1.02,8,-0.537413121,0.305468403,-4.19797E-05
CARBOHYDRATE BASED DISHES,SIDE DISHES,0.689173986,0.559885965,-0.129288021,0.9,455,-0.074457766,-0.054830255,-0.001905473
CEREAL MALT-BASED BEVERAGE,,0,0.088512203,0.088512203,1,55,,,0.001563945
CEREALS & PORRIDGES,BREAKFAST CEREALS,0.554100924,0.290879911,-0.263221013,1,75,-0.024660718,-0.238560295,-0.001290614
COOKING & BAKING AGENTS,,0,0.443164454,0.443164454,0.96,180,,,0.017185617
DISH SPECIFIC SEASONINGS,SEASONINGS,0.693425139,0.838277331,0.144852192,0.82,552,-0.007091761,0.151943953,0.005551151
EMULSION-BASED SAUCES,EMULSION BASED DRESSINGS,0.9295857,0.904929935,-0.024655765,0.47,860,-0.025219985,0.00056422,-0.004445391
FERMENTED SAUCES & SEASONING PASTES,SEASONINGS,0.693425139,0.027443768,-0.665981371,0.98,94,-0.921791178,0.255809807,-0.020913495
FRUIT & VEGETABLE JUICES,BEVERAGES,0.745538135,0.015664274,-0.729873861,1,13,-0.012545949,-0.717327913,-0.003074761
ICE CREAM & DESSERTS,ICE CREAMS,0.295026296,0.269527141,-0.025499155,0.28,4516,0.04291225,-0.068411404,-0.007369429
KIDS ICE CREAM & DESSERTS,ICE CREAMS,0.295026296,0.926694246,0.63166795,0.66,339,-0.06264715,0.6943151,0.020079829
KIDS SNACKS - SWEET & SAVOURY,ALL OTHER PRODUCTS,0.605790954,0,-0.605790954,0.56,7,-0.453256752,-0.152534202,-2.84453E-05
"LEAF TEA, HERBAL INFUSIONS & COFFEE",BEVERAGES,0.745538135,0.998376798,0.252838663,0.91,1119,-0.00104554,0.253884202,0.018405613
MAIN MEALS,MAIN DISHES,0.562268227,0.535344823,-0.026923404,0.37,548,-0.077278986,0.050355582,-0.000236685
MEAL SAUCES,MEAL SAUCES,0.631175704,0.555237484,-0.07593822,0.73,66,-0.044865428,-0.031072792,-0.002282656
MUSTARDS,MUSTARD,0.673088586,0.645286361,-0.027802225,1,127,-0.000250507,-0.027551719,-0.000297621
PICKLED & FERMENTED VEGETABLES,ALL OTHER PRODUCTS,0.605790954,0.917157076,0.311366122,0.81,94,0.868044363,-0.55667824,0.000733102
PLANT PROTEIN,PROCESSED MEAT,0.272131904,0.000876578,-0.271255326,0,41,-2.870792426,2.5995371,-2.07162E-05
RTD & CONCETRATED BEVERAGES,BEVERAGES,0.745538135,0.320070812,-0.425467323,0.95,272,-0.049003372,-0.376463951,-0.004673449
SMALL MEALS,SMALL MEALS,0.121136015,0.562190378,0.441054363,0.94,96,0.206899746,0.234154617,0.00864205
SNACKS - SWEET & SAVOURY,SWEET SNACKS,0.224760478,0.190952747,-0.033807731,0.54,240,0.045323864,-0.079131595,-0.000106299
SOUPS,SOUPS,0.604368073,0.449505381,-0.154862692,0.71,19,-0.123251639,-0.031611053,-0.008856981
SPREADS - SWEET & SAVOURY,,0,0.089213947,0.089213947,0.96,121,,,0.000668877
TOPPINGS - SWEET & SAVOURY,,0,0.151841753,0.151841753,0.92,96,,,7.2003E-05
UNIVERSAL SEASONINGS,SEASONINGS,0.693425139,0.516168017,-0.177257122,0.52,255,0.334894914,-0.512152036,-0.000550283
WATER-BASED SAUCES,WATER BASED DRESSINGS,0.074181093,0.369970769,0.295789676,0.41,328,0.224097307,0.071692369,0.015296556
